Designator,Mid X,Mid Y,Rotation,Layer
C1,142.315262,-42.831059,0.0,bottom
C10,149.655262,-43.068309,90.0,bottom
C11,142.349262,-54.021952,315.0,bottom
C12,145.873512,-44.862077,90.0,bottom
C13,154.890512,-47.402077,90.0,bottom
C14,148.766262,-58.689309,270.0,bottom
C15,155.906512,-53.244077,225.0,bottom
C16,143.178262,-46.116309,0.0,bottom
C17,143.178262,-47.640309,0.0,bottom
C2,145.335262,-34.786059,180.0,bottom
C3,153.135262,-37.846059,0.0,bottom
C4,146.889512,-44.862077,90.0,bottom
C5,151.179262,-43.068309,90.0,bottom
C6,147.242262,-58.689309,270.0,bottom
C7,155.370262,-62.515077,270.0,bottom
C8,148.667512,-62.261077,90.0,bottom
C9,142.315262,-41.631059,180.0,bottom
CH1,50.02725,-71.717684,0.0,bottom
CH10,188.36,-86.27,0.0,bottom
CH11,216.98052,-86.27,0.0,bottom
CH12,245.979422,-89.797778,0.0,bottom
CH13,184.850386,-113.797778,0.0,bottom
CH14,152.012509,-128.660135,0.0,bottom
CH2,77.716721,-66.47259,0.0,bottom
CH3,106.544006,-66.617684,0.0,bottom
CH4,132.945439,-77.825995,0.0,bottom
CH5,163.164973,-68.850832,0.0,bottom
CH6,189.532267,-57.376101,0.0,bottom
CH7,218.164167,-57.376101,0.0,bottom
CH8,246.796067,-60.903879,0.0,bottom
CH9,162.009776,-97.311278,0.0,bottom
D3,137.277762,-49.706059,180.0,bottom
F1,144.43,-32.57,180.0,bottom
J1,239.998498,-15.1,180.0,bottom
R1,142.332037,-18.333586,90.0,bottom
R10,162.385262,-35.926059,270.0,bottom
R11,150.798262,-58.689309,90.0,bottom
R2,149.971668,-20.843586,0.0,bottom
R3,146.851668,-20.843586,0.0,bottom
R4,139.905262,-49.716059,0.0,bottom
R5,139.205262,-45.811059,270.0,bottom
R6,137.665262,-45.811059,90.0,bottom
R7,143.735262,-58.136059,180.0,bottom
R8,149.225262,-39.346059,270.0,bottom
R9,147.695262,-39.346059,270.0,bottom
SW1,170.339887,-37.403934,180.0,bottom
SW2,50.439074,-35.088388,270.0,bottom
SW3,61.012203,-35.088387,270.0,bottom
SW4,71.585333,-35.088386,270.0,bottom
SW5,82.158463,-35.088388,270.0,bottom
U1,144.882762,-37.026059,180.0,bottom
U2,148.459631,-33.07,90.0,bottom
U3,149.655262,-51.101059,0.0,bottom
U4,158.785262,-39.756059,0.0,bottom
Y1,151.941262,-62.245309,180.0,bottom
